run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220601-17:46:38-6427,attr,World.node[2].middleware.CA,reception:vector(camStationId),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,reception:vector(camGenerationDeltaTime),,,"2.345590470711 2.391108677981 2.645590473795 2.691108674459 2.945590477768 2.991108670257 3.245590482641 3.291108665457 3.54559048832 3.591108660132 3.845590494742 3.891108654392 4.145590501964 4.19110864827 4.22748871281 4.427488712864 4.445590510051 4.491108641867 4.627488712924 4.74559051893 4.79110863531 4.801942493191 4.827488712987","64284 64284 64584 64584 64884 64884 65184 65184 65484 65484 248 248 548 548 648 848 848 848 1048 1148 1148 1248 1248"
General-0-20220601-17:46:38-6427,attr,World.node[2].middleware.CA,reception:vector(camGenerationDeltaTime),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[3],posX:vector,,,"4.031540863588 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","-1.65 -1.65 -1.65 -1.65 -1.65 -1.65 -1.65 -1.65 -1.65 -1.65 -1.65"
General-0-20220601-17:46:38-6427,attr,World.node[3],posX:vector,source,xCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[3],posY:vector,,,"4.031540863588 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","310.89474875424 311.12171869321 311.36251056981 311.62341365888 311.90569807207 312.20596895402 312.52083374568 312.86123381981 313.21665914877 313.58635585523 313.97418590459"
General-0-20220601-17:46:38-6427,attr,World.node[3],posY:vector,source,yCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[3].vanetza[0].dcc,cbrRecorder,,,"4.131540863588 4.231540863588 4.331540863588 4.431540863588 4.531540863588 4.631540863588 4.731540863588 4.831540863588 4.931540863588","0 0.00464 0.00232 0 0.00464 0.00232 0 0.00696 0.00232"
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,receivedCams,,,"4.145590824704 4.191108961467 4.25591202223 4.445590831514 4.491108958258 4.555912022312 4.745590838963 4.791108954906 4.801942639983 4.855912022407","1 2 3 4 5 6 7 8 9 10"
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,reception:vector(camStationId),,,"4.145590824704 4.191108961467 4.25591202223 4.445590831514 4.491108958258 4.555912022312 4.745590838963 4.791108954906 4.801942639983 4.855912022407","846930886 1804289383 1681692777 846930886 1804289383 1681692777 846930886 1804289383 1957747793 1681692777"
General-0-20220601-17:46:38-6427,attr,World.node[3].middleware.CA,reception:vector(camStationId),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,reception:vector(camGenerationDeltaTime),,,"4.145590824704 4.191108961467 4.25591202223 4.445590831514 4.491108958258 4.555912022312 4.745590838963 4.791108954906 4.801942639983 4.855912022407","548 548 648 848 848 948 1148 1148 1248 1248"
